전철역코드,전철역명,호선,외부코드,사이버스테이션,X좌표,Y좌표
STATION_CD,STATION_NM,LINE_NUM,FR_CODE,CYBER_ST_CODE,XPOINT,YPOINT
493365
1125595
0150,서울,1,133,0150,493365,1125595
0151,시청,1,132,0151,494587,1128532
0152,종각,1,131,0152,496085,1129940
0153,종로3가,1,130,0153,498060,1130332
0154,종로5가,1,129,0154,500162,1130132
0155,동대문,1,128,0155,502155,1130180
0156,신설동,1,126,0156,505342,1131412
0157,제기동,1,125,0157,507552,1132159
0158,청량리,1,124,0158,510002,1132640
0159,동묘앞,1,127,0159,503422,1130557
1002,남영,1,134,1002,493462,1122025
1003,용산,1,135,1003,491977,1118732
1004,노량진,1,136,1004,487327,1114430
1005,대방,1,137,1005,483645,1114340
1006,영등포,1,139,1006,479375,1114790
1015,회기,1,123,1015,512662,1135362
1016,외대앞,1,122,1016,513900,1137147
1017,신이문,1,121,1017,514704,1138814
1901,방학,1,115,1901,509602,1157006
1902,도봉,1,114,1902,509890,1160207
1903,도봉산,1,113,1903,510065,1163090
1904,망월사,1,112,1904,510207,1168925
1905,회룡,1,111,1905,510190,1172670
1906,의정부,1,110,1906,509950,1176650
1907,가능,1,109,1907,509550,1179510
1908,녹양,1,108,1908,509151,1182411
1909,양주,1,107,1909,509651,1186511
1910,덕계,1,106,1910,512355,1198910
1911,덕정,1,105,1911,513355,1205710
1912,지행,1,104,1912,512155,1219310
1913,동두천중앙,1,103,1913,512255,1222010
1914,보산,1,102,1914,512355,1225370
1915,동두천,1,101,1915,511905,1229110
1916,소요산,1,100,1916,513255,1235010
1917,마전(무정차),1,759,1917,,
1018,석계,1,120,1018,514452,1142315
1019,광운대,1,119,1019,513467,1144785
1020,월계,1,118,1020,512815,1147432
1021,녹천,1,117,1021,511557,1150497
1032,신길,1,138,1032,481420,1115205
1401,봉명,1,P170,1401,530135,916612
1402,쌍용(나사렛대),1,P171,1402,526835,914512
1403,아산,1,P172,1403,523035,914062
1404,탕정,1,P173,1404,,
1405,배방,1,P174,1405,511635,910112
1406,풍기,1,P175,1406,,
1407,온양온천,1,P176,1407,500535,910912
1408,신창,1,P177,1408,489035,907912
1701,구로,1,141,1701,473665,1111027
1702,가산디지털단지,1,P142,1702,473861,1105307
1703,금천구청,1,P144,1703,476450,1098232
1704,석수,1,P145,1704,478195,1092480
1705,관악,1,P146,1705,479698,1088013
1706,안양,1,P147,1706,482735,1083190
1707,명학,1,P148,1707,485522,1078495
1709,군포,1,P150,1709,488327,1069692
1710,의왕,1,P152,1710,488252,1060692
1711,성균관대,1,P153,1711,493610,1054955
1712,화서,1,P154,1712,497490,1050557
1713,수원,1,P155,1713,499747,1045517
1714,독산,1,P143,1714,475327,1101222
1715,세류,1,P156,1715,502825,1039400
1716,병점,1,P157,1716,507147,1029150
1717,세마,1,P158,1717,509427,1023707
1718,오산대,1,P159,1718,513750,1018710
1719,오산,1,P160,1719,514562,1011910
1720,진위,1,P161,1720,513662,1002210
1721,송탄,1,P162,1721,511847,992717
1722,서정리,1,P163,1722,511607,987472
1723,지제,1,P164,1723,515467,977022
1724,평택,1,P165,1724,518805,969180
1725,성환,1,P166,1725,528022,948422
1726,직산,1,P167,1726,531832,935982
1727,두정,1,P168,1727,533047,925610
1728,천안,1,P169,1728,532535,919162
1729,당정,1,P151,1729,488329,1067092
1749,서동탄,1,P157-1,1749,511347,1026050
1750,광명,1,K410,1750,474465,1087601
1801,개봉,1,143,1801,468537,1109170
1802,오류동,1,144,1802,465445,1108947
1803,역곡,1,146,1803,458312,1106430
1804,부천,1,148,1804,451774,1106150
1805,송내,1,150,1805,445200,1107120
1806,부평,1,152,1806,438837,1107772
1807,백운,1,153,1807,435164,1105969
1808,동암,1,154,1808,434192,1102477
1809,주안,1,156,1809,429187,1100850
1810,제물포,1,158,1810,424050,1101375
1811,동인천,1,160,1811,418562,1103812
1812,인천,1,161,1812,415080,1103977
1813,구일,1,142,1813,471027,1109500
1814,소사,1,147,1814,454610,1105667
1815,부개,1,151,1815,442407,1107372
1816,간석,1,155,1816,432214,1100821
1817,도원,1,159,1817,420742,1101893
1821,온수,1,145,1821,460825,1108360
1822,중동,1,149,1822,447750,1106820
1823,도화,1,157,1823,426550,1101115
